iceberg_id,date,latitude,longitude,previous_delta_latitude,previous_delta_longitude,drift_speed_kmh,drift_heading_deg,size_1_nm,size_2_nm,sin_doy,cos_doy,current_extent,next_delta_latitude,next_delta_longitude,u10_t,v10_t,uo_t,vo_t
A68A,2020-02-11,-63.1823,-52.2765,0.0327,-0.048,0.1817,326.48,0.0,0.0,0.66126,0.75015,2.974,0.0296,-0.0454,12.6739,-1.7379,0.063,0.1524
A68A,2020-02-12,-63.1527,-52.3219,0.0296,-0.0454,0.1668,325.28,0.0,0.0,0.67407,0.73867,2.956,0.0252,-0.04,5.4411,-7.1311,0.071,0.0215
A68A,2020-02-13,-63.1275,-52.3619,0.0252,-0.04,0.1437,324.34,0.0,0.0,0.68668,0.72696,2.901,0.0775,-0.0714,8.1623,-0.7274,0.0276,0.0701
A68A,2020-02-14,-63.05,-52.4333,0.0775,-0.0714,0.389,337.33,82.0,26.0,0.69908,0.71504,2.852,-0.0454,0.0184,5.1442,-4.5973,0.0187,0.0299
A68A,2020-02-15,-63.0954,-52.4149,-0.0454,0.0184,0.2139,169.61,0.0,0.0,0.71128,0.70291,2.824,0.0045,-0.0076,-3.6969,-4.8766,-0.035,-0.0198
A68A,2020-02-16,-63.0909,-52.4225,0.0045,-0.0076,0.0262,322.61,0.0,0.0,0.72326,0.69057,2.794,0.0,0.0,-5.5153,-1.063,-0.0592,-0.0034
A68A,2020-02-17,-63.0909,-52.4225,0.0,0.0,0.0,0.0,0.0,0.0,0.73503,0.67803,2.758,0.019,-0.0863,-4.9109,3.0464,-0.0675,0.012
A68A,2020-02-18,-63.0719,-52.5088,0.019,-0.0863,0.2013,295.9,0.0,0.0,0.74659,0.66529,2.714,0.0191,-0.0863,-4.4922,-1.6341,-0.0391,-0.0198
A68A,2020-02-19,-63.0528,-52.5951,0.0191,-0.0863,0.2016,296.0,0.0,0.0,0.75792,0.65235,2.711,0.0,0.0,-5.736,1.5561,-0.0742,-0.0231
A68A,2020-02-20,-63.0528,-52.5951,0.0,0.0,0.0,0.0,0.0,0.0,0.76903,0.63921,2.769,0.0,0.0,0.0731,1.7927,-0.0566,0.0158
A68A,2020-02-21,-63.0528,-52.5951,0.0,0.0,0.0,0.0,82.0,26.0,0.77991,0.62589,2.76,0.0503,-0.0833,4.121,-4.5023,0.0127,0.0342
A68A,2020-02-22,-63.0025,-52.6784,0.0503,-0.0833,0.2915,323.05,0.0,0.0,0.79056,0.61238,2.747,0.0935,-0.1547,-0.7111,1.9284,-0.0848,0.0173
A68A,2020-02-23,-62.909,-52.8331,0.0935,-0.1547,0.5421,322.98,0.0,0.0,0.80098,0.59869,2.756,0.0503,-0.0833,-3.1542,-4.5812,-0.0582,-0.0171
A68A,2020-02-24,-62.8587,-52.9164,0.0503,-0.0833,0.292,322.92,0.0,0.0,0.81116,0.58482,2.754,0.0,0.0,-8.8563,1.0289,-0.1127,-0.0271
A68A,2020-02-25,-62.8587,-52.9164,0.0,0.0,0.0,0.0,0.0,0.0,0.8211,0.57078,2.757,0.0,0.0,-3.3699,6.3515,-0.1172,0.038
A68A,2020-02-26,-62.8587,-52.9164,0.0,0.0,0.0,0.0,0.0,0.0,0.8308,0.55658,2.757,0.0206,-0.0537,-2.0183,6.2843,-0.1085,0.0469
A68A,2020-02-27,-62.8381,-52.9701,0.0206,-0.0537,0.1483,310.03,0.0,0.0,0.84025,0.5422,2.735,0.2214,-0.2632,-2.4048,6.9702,-0.1089,0.0431
A68A,2020-02-28,-62.6167,-53.2333,0.2214,-0.2632,1.1681,331.3,82.0,26.0,0.84945,0.52767,2.753,-0.1109,0.0016,0.0893,3.3131,-0.0141,0.0275
A68A,2020-02-29,-62.7276,-53.2317,-0.1109,0.0016,0.5138,179.62,0.0,0.0,0.8584,0.51298,2.723,0.0536,-0.096,0.885,-4.7906,-0.0107,0.0181
A68A,2020-03-01,-62.674,-53.3277,0.0536,-0.096,0.3214,320.56,0.0,0.0,0.8671,0.49814,2.747,0.0353,-0.0562,6.0976,-0.0111,-0.0047,0.0855
A68A,2020-03-02,-62.6387,-53.3839,0.0353,-0.0562,0.2026,323.8,0.0,0.0,0.87554,0.48315,2.752,0.0341,-0.0453,3.0542,1.1887,-0.0459,0.0749
A68A,2020-03-03,-62.6046,-53.4292,0.0341,-0.0453,0.1851,328.56,0.0,0.0,0.88372,0.46802,2.778,0.057,-0.0186,1.255,3.2365,-0.0463,0.0838
A68A,2020-03-04,-62.5476,-53.4478,0.057,-0.0186,0.2671,351.44,0.0,0.0,0.89164,0.45274,2.853,0.1822,0.0004,3.8086,-3.5708,0.0227,0.052
A68A,2020-03-05,-62.3654,-53.4474,0.1822,0.0004,0.8442,0.06,0.0,0.0,0.8993,0.43734,2.969,0.0775,0.1346,6.713,-4.9924,0.0756,0.0444
A68A,2020-03-06,-62.2879,-53.3128,0.0775,0.1346,0.4613,38.95,82.0,26.0,0.90669,0.42181,3.109,0.0453,0.0236,11.3394,-2.978,0.0848,0.0573
A68A,2020-03-07,-62.2426,-53.2892,0.0453,0.0236,0.216,13.64,0.0,0.0,0.91381,0.40615,3.194,0.0351,0.0107,0.4061,4.0341,-0.0153,0.0081
A68A,2020-03-08,-62.2075,-53.2785,0.0351,0.0107,0.1643,8.09,0.0,0.0,0.92066,0.39037,3.305,0.0451,0.0231,-2.9174,3.4708,-0.0128,-0.0164
A68A,2020-03-09,-62.1624,-53.2554,0.0451,0.0231,0.2148,13.45,0.0,0.0,0.92724,0.37447,3.392,0.0763,0.1199,0.196,4.4829,-0.0054,-0.0162
A68A,2020-03-10,-62.0861,-53.1355,0.0763,0.1199,0.4387,36.36,0.0,0.0,0.93354,0.35847,3.496,0.034,0.1705,-1.0159,-0.4205,-0.0145,-0.0672
